Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=5.6437, val_acc=0.0506
Epoch 115: val_loss=5.6071, val_acc=0.0597
Epoch 116: val_loss=5.5639, val_acc=0.0544
Epoch 117: val_loss=5.8104, val_acc=0.0417
Epoch 118: val_loss=5.6984, val_acc=0.0440
Epoch 119: val_loss=5.6251, val_acc=0.0478
Epoch 120: val_loss=5.5754, val_acc=0.0565
Epoch 121: val_loss=5.5631, val_acc=0.0525
Epoch 122: val_loss=5.5797, val_acc=0.0546
Epoch 123: val_loss=5.4828, val_acc=0.0640
Epoch 124: val_loss=5.5158, val_acc=0.0614
Epoch 125: val_loss=5.4658, val_acc=0.0676
Epoch 126: val_loss=5.5011, val_acc=0.0618
Epoch 127: val_loss=5.4781, val_acc=0.0644
Epoch 128: val_loss=5.4915, val_acc=0.0638
Epoch 129: val_loss=5.4702, val_acc=0.0652
Epoch 130: val_loss=5.4788, val_acc=0.0663
Epoch 131: val_loss=5.4787, val_acc=0.0652
Epoch 132: val_loss=5.4260, val_acc=0.0774
Epoch 133: val_loss=5.4459, val_acc=0.0691
Epoch 134: val_loss=5.4616, val_acc=0.0729
Epoch 135: val_loss=5.4505, val_acc=0.0725
Epoch 136: val_loss=5.4183, val_acc=0.0746
Epoch 137: val_loss=5.4469, val_acc=0.0740
Epoch 138: val_loss=5.4175, val_acc=0.0795
Epoch 139: val_loss=5.4134, val_acc=0.0752
Epoch 140: val_loss=5.4083, val_acc=0.0852
Epoch 141: val_loss=5.3939, val_acc=0.0810
Epoch 142: val_loss=5.3825, val_acc=0.0818
Epoch 143: val_loss=5.4207, val_acc=0.0791
Epoch 144: val_loss=5.3877, val_acc=0.0863
Epoch 145: val_loss=5.3926, val_acc=0.0857
Epoch 146: val_loss=5.3841, val_acc=0.0888
Epoch 147: val_loss=5.3702, val_acc=0.0905
Epoch 148: val_loss=5.3769, val_acc=0.0882
Epoch 149: val_loss=5.3834, val_acc=0.0884
Epoch 150: val_loss=5.3402, val_acc=0.0874
Epoch 151: val_loss=5.3302, val_acc=0.0954
Epoch 152: val_loss=5.3151, val_acc=0.0976
Epoch 153: val_loss=5.3043, val_acc=0.0982
Epoch 154: val_loss=5.2938, val_acc=0.0952
Epoch 155: val_loss=5.3039, val_acc=0.0980
Epoch 156: val_loss=5.3367, val_acc=0.1016
Epoch 157: val_loss=5.2832, val_acc=0.1039
Epoch 158: val_loss=5.2839, val_acc=0.1052
Epoch 159: val_loss=5.2739, val_acc=0.1069
Epoch 160: val_loss=5.2926, val_acc=0.1022
Epoch 161: val_loss=5.2062, val_acc=0.1116
Epoch 162: val_loss=5.2614, val_acc=0.1071
Epoch 163: val_loss=5.2604, val_acc=0.1071
Epoch 164: val_loss=5.2428, val_acc=0.1114
Epoch 165: val_loss=5.2104, val_acc=0.1135
Epoch 166: val_loss=5.2376, val_acc=0.1112
Epoch 167: val_loss=5.1909, val_acc=0.1133
Epoch 168: val_loss=5.2016, val_acc=0.1171
Epoch 169: val_loss=5.2110, val_acc=0.1177
Epoch 170: val_loss=5.1519, val_acc=0.1209
Epoch 171: val_loss=5.1513, val_acc=0.1265
Epoch 172: val_loss=5.1536, val_acc=0.1286
Epoch 173: val_loss=5.1526, val_acc=0.1209
Epoch 174: val_loss=5.1524, val_acc=0.1214
Epoch 175: val_loss=5.1655, val_acc=0.1282
Epoch 176: val_loss=5.1226, val_acc=0.1252
Epoch 177: val_loss=5.0982, val_acc=0.1305
Epoch 178: val_loss=5.0787, val_acc=0.1316
Epoch 179: val_loss=5.0964, val_acc=0.1386
Epoch 180: val_loss=5.0953, val_acc=0.1369
Epoch 181: val_loss=5.0859, val_acc=0.1369
Epoch 182: val_loss=5.0713, val_acc=0.1301
Epoch 183: val_loss=5.0520, val_acc=0.1392
Epoch 184: val_loss=5.0377, val_acc=0.1441
Epoch 185: val_loss=5.0378, val_acc=0.1337
Epoch 186: val_loss=5.0620, val_acc=0.1413
Epoch 187: val_loss=5.0337, val_acc=0.1443
Epoch 188: val_loss=5.0385, val_acc=0.1375
Epoch 189: val_loss=5.0000, val_acc=0.1382
Epoch 190: val_loss=4.9589, val_acc=0.1503
Epoch 191: val_loss=4.9632, val_acc=0.1501
Epoch 192: val_loss=4.9667, val_acc=0.1424
Epoch 193: val_loss=4.9746, val_acc=0.1430
Epoch 194: val_loss=4.9463, val_acc=0.1535
Epoch 195: val_loss=4.9335, val_acc=0.1541
Epoch 196: val_loss=4.9396, val_acc=0.1552
Epoch 197: val_loss=4.9366, val_acc=0.1549
Epoch 198: val_loss=4.9077, val_acc=0.1558
Epoch 199: val_loss=4.9157, val_acc=0.1549
Epoch 200: val_loss=4.8975, val_acc=0.1590
Epoch 201: val_loss=4.9123, val_acc=0.1615
Epoch 202: val_loss=4.8821, val_acc=0.1617
Epoch 203: val_loss=4.8780, val_acc=0.1645
Epoch 204: val_loss=4.8746, val_acc=0.1709
Epoch 205: val_loss=4.8439, val_acc=0.1700
Epoch 206: val_loss=4.8101, val_acc=0.1719
Epoch 207: val_loss=4.8246, val_acc=0.1739
Epoch 208: val_loss=4.7945, val_acc=0.1781
Epoch 209: val_loss=4.8384, val_acc=0.1741
Epoch 210: val_loss=4.7743, val_acc=0.1802
Epoch 211: val_loss=4.7585, val_acc=0.1849
Epoch 212: val_loss=4.7903, val_acc=0.1749
Epoch 213: val_loss=4.7649, val_acc=0.1764
Epoch 214: val_loss=4.7737, val_acc=0.1838
Epoch 215: val_loss=4.7737, val_acc=0.1860
Epoch 216: val_loss=4.7743, val_acc=0.1836
Epoch 217: val_loss=4.7612, val_acc=0.1828
Epoch 218: val_loss=4.7110, val_acc=0.1909
Epoch 219: val_loss=4.7129, val_acc=0.1957
Epoch 220: val_loss=4.6848, val_acc=0.1919
Epoch 221: val_loss=4.6903, val_acc=0.1936
Epoch 222: val_loss=4.6762, val_acc=0.1936
Epoch 223: val_loss=4.6838, val_acc=0.1919
Epoch 224: val_loss=4.6810, val_acc=0.1983
Epoch 225: val_loss=4.6620, val_acc=0.1966
Epoch 226: val_loss=4.6672, val_acc=0.1987
Epoch 227: val_loss=4.6358, val_acc=0.2049
Epoch 228: val_loss=4.6477, val_acc=0.2004
Epoch 229: val_loss=4.6142, val_acc=0.2045
Epoch 230: val_loss=4.6716, val_acc=0.2006
Epoch 231: val_loss=4.5766, val_acc=0.2072
Epoch 232: val_loss=4.6298, val_acc=0.2040
Epoch 233: val_loss=4.5948, val_acc=0.2083
Epoch 234: val_loss=4.5826, val_acc=0.2142
Epoch 235: val_loss=4.5807, val_acc=0.2170
Epoch 236: val_loss=4.5732, val_acc=0.2132
Epoch 237: val_loss=4.5787, val_acc=0.2113
Epoch 238: val_loss=4.5781, val_acc=0.2130
Epoch 239: val_loss=4.5708, val_acc=0.2168
Epoch 240: val_loss=4.5755, val_acc=0.2134
Epoch 241: val_loss=4.5590, val_acc=0.2155
Epoch 242: val_loss=4.5357, val_acc=0.2162
Epoch 243: val_loss=4.5624, val_acc=0.2179
Epoch 244: val_loss=4.5555, val_acc=0.2174
Epoch 245: val_loss=4.5723, val_acc=0.2138
Epoch 246: val_loss=4.5506, val_acc=0.2232
Epoch 247: val_loss=4.5373, val_acc=0.2221
Epoch 248: val_loss=4.5200, val_acc=0.2264
Epoch 249: val_loss=4.4818, val_acc=0.2202
Epoch 250: val_loss=4.5269, val_acc=0.2247
Epoch 251: val_loss=4.5183, val_acc=0.2221
Epoch 252: val_loss=4.4522, val_acc=0.2283
Epoch 253: val_loss=4.5327, val_acc=0.2098
Epoch 254: val_loss=4.5074, val_acc=0.2210
Epoch 255: val_loss=4.4940, val_acc=0.2278
Epoch 256: val_loss=4.5091, val_acc=0.2255
Epoch 257: val_loss=4.4988, val_acc=0.2206
Epoch 258: val_loss=4.4673, val_acc=0.2304
Epoch 259: val_loss=4.4786, val_acc=0.2304
Epoch 260: val_loss=4.4578, val_acc=0.2361
