Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=4.1394, val_acc=0.2287
Epoch 115: val_loss=4.0817, val_acc=0.2410
Epoch 116: val_loss=4.0890, val_acc=0.2391
Epoch 117: val_loss=4.1918, val_acc=0.2091
Epoch 118: val_loss=4.1291, val_acc=0.2225
Epoch 119: val_loss=4.1365, val_acc=0.2191
Epoch 120: val_loss=4.0265, val_acc=0.2499
Epoch 121: val_loss=3.9705, val_acc=0.2625
Epoch 122: val_loss=3.9920, val_acc=0.2580
Epoch 123: val_loss=3.9300, val_acc=0.2738
Epoch 124: val_loss=3.9097, val_acc=0.2699
Epoch 125: val_loss=3.9180, val_acc=0.2742
Epoch 126: val_loss=3.8905, val_acc=0.2808
Epoch 127: val_loss=3.8467, val_acc=0.2865
Epoch 128: val_loss=3.9020, val_acc=0.2740
Epoch 129: val_loss=3.8587, val_acc=0.2882
Epoch 130: val_loss=3.7957, val_acc=0.3018
Epoch 131: val_loss=3.8401, val_acc=0.2925
Epoch 132: val_loss=3.8118, val_acc=0.2965
Epoch 133: val_loss=3.7419, val_acc=0.3084
Epoch 134: val_loss=3.7340, val_acc=0.3088
Epoch 135: val_loss=3.7647, val_acc=0.3097
Epoch 136: val_loss=3.7364, val_acc=0.3158
Epoch 137: val_loss=3.7187, val_acc=0.3169
Epoch 138: val_loss=3.7006, val_acc=0.3260
Epoch 139: val_loss=3.7340, val_acc=0.3086
Epoch 140: val_loss=3.7043, val_acc=0.3222
Epoch 141: val_loss=3.6558, val_acc=0.3241
Epoch 142: val_loss=3.6261, val_acc=0.3354
Epoch 143: val_loss=3.6475, val_acc=0.3292
Epoch 144: val_loss=3.5888, val_acc=0.3345
Epoch 145: val_loss=3.5745, val_acc=0.3379
Epoch 146: val_loss=3.5452, val_acc=0.3543
Epoch 147: val_loss=3.5133, val_acc=0.3641
Epoch 148: val_loss=3.5288, val_acc=0.3558
Epoch 149: val_loss=3.5165, val_acc=0.3545
Epoch 150: val_loss=3.4843, val_acc=0.3702
Epoch 151: val_loss=3.4291, val_acc=0.3802
Epoch 152: val_loss=3.5142, val_acc=0.3537
Epoch 153: val_loss=3.4845, val_acc=0.3586
Epoch 154: val_loss=3.4528, val_acc=0.3709
Epoch 155: val_loss=3.4381, val_acc=0.3741
Epoch 156: val_loss=3.4238, val_acc=0.3745
Epoch 157: val_loss=3.4450, val_acc=0.3624
Epoch 158: val_loss=3.4053, val_acc=0.3743
Epoch 159: val_loss=3.3827, val_acc=0.3881
Epoch 160: val_loss=3.3163, val_acc=0.4009
Epoch 161: val_loss=3.3285, val_acc=0.3940
Epoch 162: val_loss=3.3257, val_acc=0.3945
Epoch 163: val_loss=3.3085, val_acc=0.3979
Epoch 164: val_loss=3.2643, val_acc=0.4132
Epoch 165: val_loss=3.2572, val_acc=0.4164
Epoch 166: val_loss=3.2731, val_acc=0.4089
Epoch 167: val_loss=3.2816, val_acc=0.4060
Epoch 168: val_loss=3.2326, val_acc=0.4119
Epoch 169: val_loss=3.2414, val_acc=0.4179
Epoch 170: val_loss=3.2308, val_acc=0.4166
Epoch 171: val_loss=3.2181, val_acc=0.4225
Epoch 172: val_loss=3.2365, val_acc=0.4157
Epoch 173: val_loss=3.1864, val_acc=0.4227
Epoch 174: val_loss=3.1674, val_acc=0.4281
