Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=5.7269, val_acc=0.0627
Epoch 115: val_loss=5.8146, val_acc=0.0667
Epoch 116: val_loss=5.7762, val_acc=0.0682
Epoch 117: val_loss=5.7060, val_acc=0.0742
Epoch 118: val_loss=5.7308, val_acc=0.0708
Epoch 119: val_loss=5.8993, val_acc=0.0582
Epoch 120: val_loss=5.7322, val_acc=0.0693
Epoch 121: val_loss=5.7023, val_acc=0.0769
Epoch 122: val_loss=5.7135, val_acc=0.0718
Epoch 123: val_loss=5.6880, val_acc=0.0748
Epoch 124: val_loss=5.7182, val_acc=0.0752
Epoch 125: val_loss=5.7499, val_acc=0.0755
Epoch 126: val_loss=5.7100, val_acc=0.0761
Epoch 127: val_loss=5.6895, val_acc=0.0782
Epoch 128: val_loss=5.7137, val_acc=0.0818
Epoch 129: val_loss=5.6697, val_acc=0.0782
Epoch 130: val_loss=5.7097, val_acc=0.0714
Epoch 131: val_loss=5.6845, val_acc=0.0716
Epoch 132: val_loss=5.6777, val_acc=0.0823
Epoch 133: val_loss=5.7249, val_acc=0.0748
Epoch 134: val_loss=5.6704, val_acc=0.0859
Epoch 135: val_loss=5.6643, val_acc=0.0878
Epoch 136: val_loss=5.6450, val_acc=0.0833
Epoch 137: val_loss=5.6202, val_acc=0.0867
Epoch 138: val_loss=5.6739, val_acc=0.0842
Epoch 139: val_loss=5.5893, val_acc=0.0886
Epoch 140: val_loss=5.5867, val_acc=0.0961
Epoch 141: val_loss=5.6452, val_acc=0.0893
Epoch 142: val_loss=5.6155, val_acc=0.0888
Epoch 143: val_loss=5.6388, val_acc=0.0871
Epoch 144: val_loss=5.5558, val_acc=0.0980
Epoch 145: val_loss=5.6261, val_acc=0.0969
Epoch 146: val_loss=5.7096, val_acc=0.0869
Epoch 147: val_loss=5.5855, val_acc=0.1001
Epoch 148: val_loss=5.5936, val_acc=0.0942
Epoch 149: val_loss=5.5930, val_acc=0.0948
Epoch 150: val_loss=5.5634, val_acc=0.0984
Epoch 151: val_loss=5.5161, val_acc=0.1052
Epoch 152: val_loss=5.5831, val_acc=0.1031
