Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=0.2433, val_acc=0.9560
Epoch 115: val_loss=0.2214, val_acc=0.9609
Epoch 116: val_loss=0.2001, val_acc=0.9658
Epoch 117: val_loss=0.1848, val_acc=0.9711
Epoch 118: val_loss=0.1541, val_acc=0.9809
Epoch 119: val_loss=0.1482, val_acc=0.9834
Epoch 120: val_loss=0.1315, val_acc=0.9845
Epoch 121: val_loss=0.1168, val_acc=0.9885
Epoch 122: val_loss=0.1017, val_acc=0.9892
Epoch 123: val_loss=0.0874, val_acc=0.9909
Epoch 124: val_loss=0.0736, val_acc=0.9943
Epoch 125: val_loss=0.0618, val_acc=0.9960
Epoch 126: val_loss=0.0507, val_acc=0.9966
Epoch 127: val_loss=0.0436, val_acc=0.9977
Epoch 128: val_loss=0.0336, val_acc=0.9985
Epoch 129: val_loss=0.0289, val_acc=0.9991
Epoch 130: val_loss=0.0304, val_acc=0.9994
Epoch 131: val_loss=0.0233, val_acc=0.9987
Epoch 132: val_loss=0.0196, val_acc=0.9994
Epoch 133: val_loss=0.0176, val_acc=0.9994
Epoch 134: val_loss=0.1482, val_acc=0.9821
Epoch 135: val_loss=0.5703, val_acc=0.8893
Epoch 136: val_loss=0.2289, val_acc=0.9698
Epoch 137: val_loss=0.0999, val_acc=0.9930
Epoch 138: val_loss=0.0655, val_acc=0.9981
Epoch 139: val_loss=0.0518, val_acc=0.9977
Epoch 140: val_loss=0.0447, val_acc=0.9979
Epoch 141: val_loss=0.0405, val_acc=0.9985
Epoch 142: val_loss=0.0391, val_acc=0.9989
Epoch 143: val_loss=0.0382, val_acc=0.9989
Epoch 144: val_loss=0.0380, val_acc=0.9989
Epoch 145: val_loss=0.0376, val_acc=0.9989
Epoch 146: val_loss=0.0372, val_acc=0.9991
Epoch 147: val_loss=0.0363, val_acc=0.9994
Epoch 148: val_loss=0.0355, val_acc=0.9994
Epoch 149: val_loss=0.0347, val_acc=0.9998
Epoch 150: val_loss=0.0338, val_acc=0.9998
Epoch 151: val_loss=0.0335, val_acc=0.9998
Epoch 152: val_loss=0.0317, val_acc=0.9998
Epoch 153: val_loss=0.0311, val_acc=0.9998
Epoch 154: val_loss=0.0299, val_acc=0.9998
Epoch 155: val_loss=0.0291, val_acc=0.9998
Epoch 156: val_loss=0.0279, val_acc=1.0000
Epoch 157: val_loss=0.0275, val_acc=1.0000
Epoch 158: val_loss=0.0260, val_acc=1.0000
Epoch 159: val_loss=0.0249, val_acc=1.0000
Epoch 160: val_loss=0.0245, val_acc=1.0000
Epoch 161: val_loss=0.0214, val_acc=1.0000
Epoch 162: val_loss=0.0221, val_acc=1.0000
Epoch 163: val_loss=0.0193, val_acc=1.0000
Epoch 164: val_loss=0.0220, val_acc=1.0000
Epoch 165: val_loss=0.3213, val_acc=0.9887
Epoch 166: val_loss=0.1430, val_acc=0.9991
Epoch 167: val_loss=0.0739, val_acc=0.9996
Epoch 168: val_loss=0.0445, val_acc=1.0000
Epoch 169: val_loss=0.0340, val_acc=1.0000
Epoch 170: val_loss=0.0300, val_acc=1.0000
Epoch 171: val_loss=0.0284, val_acc=1.0000
Epoch 172: val_loss=0.0276, val_acc=1.0000
Epoch 173: val_loss=0.0274, val_acc=1.0000
Epoch 174: val_loss=0.0272, val_acc=1.0000
Epoch 175: val_loss=0.0269, val_acc=1.0000
Epoch 176: val_loss=0.0266, val_acc=1.0000
Epoch 177: val_loss=0.0263, val_acc=1.0000
Epoch 178: val_loss=0.0258, val_acc=1.0000
Epoch 179: val_loss=0.0254, val_acc=1.0000
Epoch 180: val_loss=0.0248, val_acc=1.0000
Epoch 181: val_loss=0.0242, val_acc=1.0000
Epoch 182: val_loss=0.0234, val_acc=1.0000
Epoch 183: val_loss=0.0227, val_acc=1.0000
Epoch 184: val_loss=0.0219, val_acc=1.0000
Epoch 185: val_loss=0.0209, val_acc=1.0000
Epoch 186: val_loss=0.0203, val_acc=1.0000
Epoch 187: val_loss=0.0192, val_acc=1.0000
Epoch 188: val_loss=0.0188, val_acc=1.0000
Epoch 189: val_loss=0.0176, val_acc=1.0000
Epoch 190: val_loss=0.0166, val_acc=1.0000
Epoch 191: val_loss=0.0157, val_acc=1.0000
Epoch 192: val_loss=0.0152, val_acc=1.0000
Epoch 193: val_loss=0.0142, val_acc=1.0000
Epoch 194: val_loss=0.0139, val_acc=1.0000
Epoch 195: val_loss=0.9073, val_acc=0.8550
Epoch 196: val_loss=0.1252, val_acc=0.9994
Epoch 197: val_loss=0.0605, val_acc=1.0000
Epoch 198: val_loss=0.0370, val_acc=1.0000
Epoch 199: val_loss=0.0266, val_acc=0.9998
Epoch 200: val_loss=0.0222, val_acc=1.0000
Epoch 201: val_loss=0.0208, val_acc=1.0000
Epoch 202: val_loss=0.0203, val_acc=1.0000
Epoch 203: val_loss=0.0201, val_acc=1.0000
Epoch 204: val_loss=0.0201, val_acc=1.0000
Epoch 205: val_loss=0.0200, val_acc=1.0000
Epoch 206: val_loss=0.0200, val_acc=1.0000
Epoch 207: val_loss=0.0199, val_acc=1.0000
Epoch 208: val_loss=0.0197, val_acc=1.0000
Epoch 209: val_loss=0.0195, val_acc=1.0000
Epoch 210: val_loss=0.0194, val_acc=1.0000
Epoch 211: val_loss=0.0191, val_acc=1.0000
Epoch 212: val_loss=0.0188, val_acc=1.0000
Epoch 213: val_loss=0.0184, val_acc=1.0000
Epoch 214: val_loss=0.0180, val_acc=1.0000
Epoch 215: val_loss=0.0176, val_acc=1.0000
Epoch 216: val_loss=0.0172, val_acc=1.0000
Epoch 217: val_loss=0.0167, val_acc=1.0000
Epoch 218: val_loss=0.0161, val_acc=1.0000
Epoch 219: val_loss=0.0156, val_acc=1.0000
Epoch 220: val_loss=0.0151, val_acc=1.0000
Epoch 221: val_loss=0.0146, val_acc=1.0000
Epoch 222: val_loss=0.0139, val_acc=1.0000
Epoch 223: val_loss=0.0136, val_acc=1.0000
Epoch 224: val_loss=0.0129, val_acc=1.0000
Epoch 225: val_loss=0.0128, val_acc=1.0000
Epoch 226: val_loss=0.0136, val_acc=1.0000
Epoch 227: val_loss=1.8087, val_acc=0.5930
Epoch 228: val_loss=0.3665, val_acc=0.9777
Epoch 229: val_loss=0.0709, val_acc=0.9996
Epoch 230: val_loss=0.0315, val_acc=1.0000
Epoch 231: val_loss=0.0226, val_acc=1.0000
Epoch 232: val_loss=0.0175, val_acc=1.0000
Epoch 233: val_loss=0.0162, val_acc=1.0000
Epoch 234: val_loss=0.0156, val_acc=1.0000
Epoch 235: val_loss=0.0156, val_acc=1.0000
Epoch 236: val_loss=0.0156, val_acc=1.0000
Epoch 237: val_loss=0.0156, val_acc=1.0000
Epoch 238: val_loss=0.0156, val_acc=1.0000
Epoch 239: val_loss=0.0156, val_acc=1.0000
Epoch 240: val_loss=0.0156, val_acc=1.0000
Epoch 241: val_loss=0.0156, val_acc=1.0000
Epoch 242: val_loss=0.0155, val_acc=1.0000
Epoch 243: val_loss=0.0155, val_acc=1.0000
Epoch 244: val_loss=0.0153, val_acc=1.0000
Epoch 245: val_loss=0.0152, val_acc=1.0000
Epoch 246: val_loss=0.0150, val_acc=1.0000
Epoch 247: val_loss=0.0147, val_acc=1.0000
Epoch 248: val_loss=0.0145, val_acc=1.0000
Epoch 249: val_loss=0.0142, val_acc=1.0000
Epoch 250: val_loss=0.0140, val_acc=1.0000
Epoch 251: val_loss=0.0137, val_acc=1.0000
Epoch 252: val_loss=0.0132, val_acc=1.0000
Epoch 253: val_loss=0.0129, val_acc=1.0000
Epoch 254: val_loss=0.0124, val_acc=1.0000
Epoch 255: val_loss=0.0122, val_acc=1.0000
Epoch 256: val_loss=0.0117, val_acc=1.0000
Epoch 257: val_loss=0.0112, val_acc=1.0000
Epoch 258: val_loss=0.0109, val_acc=1.0000
Epoch 259: val_loss=0.0106, val_acc=1.0000
Epoch 260: val_loss=0.0102, val_acc=1.0000
Epoch 261: val_loss=0.0097, val_acc=1.0000
Epoch 262: val_loss=0.0093, val_acc=1.0000
Epoch 263: val_loss=0.0089, val_acc=1.0000
Epoch 264: val_loss=0.0085, val_acc=1.0000
Epoch 265: val_loss=0.0084, val_acc=1.0000
Epoch 266: val_loss=0.0078, val_acc=1.0000
Epoch 267: val_loss=0.0076, val_acc=1.0000
Epoch 268: val_loss=0.0078, val_acc=1.0000
Epoch 269: val_loss=0.0071, val_acc=1.0000
Epoch 270: val_loss=0.0069, val_acc=1.0000
Epoch 271: val_loss=0.0064, val_acc=1.0000
Epoch 272: val_loss=0.0059, val_acc=1.0000
Epoch 273: val_loss=0.0058, val_acc=1.0000
Epoch 274: val_loss=0.0053, val_acc=1.0000
Epoch 275: val_loss=0.0053, val_acc=1.0000
Epoch 276: val_loss=0.0049, val_acc=1.0000
Epoch 277: val_loss=0.0047, val_acc=1.0000
Epoch 278: val_loss=0.0047, val_acc=1.0000
Epoch 279: val_loss=0.0043, val_acc=1.0000
Epoch 280: val_loss=0.0041, val_acc=1.0000
Epoch 281: val_loss=0.0038, val_acc=1.0000
Epoch 282: val_loss=0.0038, val_acc=1.0000
Epoch 283: val_loss=2.9001, val_acc=0.2559
Epoch 284: val_loss=0.6589, val_acc=0.8757
Epoch 285: val_loss=0.0354, val_acc=1.0000
Epoch 286: val_loss=0.0257, val_acc=1.0000
Epoch 287: val_loss=0.0106, val_acc=1.0000
Epoch 288: val_loss=0.0082, val_acc=1.0000
Epoch 289: val_loss=0.0063, val_acc=1.0000
Epoch 290: val_loss=0.0056, val_acc=1.0000
Epoch 291: val_loss=0.0054, val_acc=1.0000
Epoch 292: val_loss=0.0054, val_acc=1.0000
Epoch 293: val_loss=0.0054, val_acc=1.0000
Epoch 294: val_loss=0.0055, val_acc=1.0000
Epoch 295: val_loss=0.0055, val_acc=1.0000
Epoch 296: val_loss=0.0056, val_acc=1.0000
Epoch 297: val_loss=0.0056, val_acc=1.0000
Epoch 298: val_loss=0.0057, val_acc=1.0000
Epoch 299: val_loss=0.0057, val_acc=1.0000
Epoch 300: val_loss=0.0057, val_acc=1.0000
Epoch 301: val_loss=0.0057, val_acc=1.0000
Epoch 302: val_loss=0.0057, val_acc=1.0000
Epoch 303: val_loss=0.0057, val_acc=1.0000
Epoch 304: val_loss=0.0057, val_acc=1.0000
Epoch 305: val_loss=0.0057, val_acc=1.0000
Epoch 306: val_loss=0.0057, val_acc=1.0000
Epoch 307: val_loss=0.0057, val_acc=1.0000
Epoch 308: val_loss=0.0056, val_acc=1.0000
Epoch 309: val_loss=0.0056, val_acc=1.0000
Epoch 310: val_loss=0.0056, val_acc=1.0000
Epoch 311: val_loss=0.0056, val_acc=1.0000
Epoch 312: val_loss=0.0055, val_acc=1.0000
Epoch 313: val_loss=0.0055, val_acc=1.0000
Epoch 314: val_loss=0.0055, val_acc=1.0000
Epoch 315: val_loss=0.0054, val_acc=1.0000
Epoch 316: val_loss=0.0054, val_acc=1.0000
Epoch 317: val_loss=0.0053, val_acc=1.0000
Epoch 318: val_loss=0.0052, val_acc=1.0000
Epoch 319: val_loss=0.0052, val_acc=1.0000
Epoch 320: val_loss=0.0051, val_acc=1.0000
Epoch 321: val_loss=0.0051, val_acc=1.0000
Epoch 322: val_loss=0.0050, val_acc=1.0000
Epoch 323: val_loss=0.0049, val_acc=1.0000
Epoch 324: val_loss=0.0048, val_acc=1.0000
Epoch 325: val_loss=0.0047, val_acc=1.0000
Epoch 326: val_loss=0.0047, val_acc=1.0000
Epoch 327: val_loss=0.0046, val_acc=1.0000
Epoch 328: val_loss=0.0045, val_acc=1.0000
Epoch 329: val_loss=0.0045, val_acc=1.0000
Epoch 330: val_loss=0.0044, val_acc=1.0000
Epoch 331: val_loss=0.0043, val_acc=1.0000
Epoch 332: val_loss=0.0042, val_acc=1.0000
Epoch 333: val_loss=0.0042, val_acc=1.0000
Epoch 334: val_loss=0.0041, val_acc=1.0000
Epoch 335: val_loss=0.0040, val_acc=1.0000
Epoch 336: val_loss=0.0040, val_acc=1.0000
Epoch 337: val_loss=0.0039, val_acc=1.0000
Epoch 338: val_loss=0.0038, val_acc=1.0000
Epoch 339: val_loss=0.0038, val_acc=1.0000
Epoch 340: val_loss=0.0037, val_acc=1.0000
Epoch 341: val_loss=0.0036, val_acc=1.0000
Epoch 342: val_loss=0.0036, val_acc=1.0000
Epoch 343: val_loss=0.0035, val_acc=1.0000
Epoch 344: val_loss=0.0035, val_acc=1.0000
Epoch 345: val_loss=0.0034, val_acc=1.0000
Epoch 346: val_loss=0.0034, val_acc=1.0000
Epoch 347: val_loss=0.0033, val_acc=1.0000
Epoch 348: val_loss=0.0033, val_acc=1.0000
Epoch 349: val_loss=0.0032, val_acc=1.0000
Epoch 350: val_loss=0.0032, val_acc=1.0000
Epoch 351: val_loss=0.0031, val_acc=1.0000
Epoch 352: val_loss=0.0031, val_acc=1.0000
Epoch 353: val_loss=0.0031, val_acc=1.0000
Epoch 354: val_loss=0.0030, val_acc=1.0000
Epoch 355: val_loss=0.0030, val_acc=1.0000
Epoch 356: val_loss=0.0030, val_acc=1.0000
Epoch 357: val_loss=0.0029, val_acc=1.0000
Epoch 358: val_loss=0.0029, val_acc=1.0000
Epoch 359: val_loss=0.0029, val_acc=1.0000
Epoch 360: val_loss=0.0028, val_acc=1.0000
Epoch 361: val_loss=0.0028, val_acc=1.0000
Epoch 362: val_loss=0.0028, val_acc=1.0000
Epoch 363: val_loss=0.0028, val_acc=1.0000
Epoch 364: val_loss=0.0028, val_acc=1.0000
Epoch 365: val_loss=0.0027, val_acc=1.0000
Epoch 366: val_loss=0.0027, val_acc=1.0000
Epoch 367: val_loss=0.0027, val_acc=1.0000
Epoch 368: val_loss=0.0027, val_acc=1.0000
Epoch 369: val_loss=0.0027, val_acc=1.0000
Epoch 370: val_loss=0.0026, val_acc=1.0000
Epoch 371: val_loss=0.0026, val_acc=1.0000
Epoch 372: val_loss=0.0026, val_acc=1.0000
Epoch 373: val_loss=0.0026, val_acc=1.0000
Epoch 374: val_loss=0.0026, val_acc=1.0000
Epoch 375: val_loss=0.0026, val_acc=1.0000
Epoch 376: val_loss=0.0026, val_acc=1.0000
Epoch 377: val_loss=0.0026, val_acc=1.0000
Epoch 378: val_loss=0.0026, val_acc=1.0000
Epoch 379: val_loss=0.0026, val_acc=1.0000
Epoch 380: val_loss=0.0026, val_acc=1.0000
Epoch 381: val_loss=0.0025, val_acc=1.0000
Epoch 382: val_loss=0.0025, val_acc=1.0000
Epoch 383: val_loss=0.0025, val_acc=1.0000
Epoch 384: val_loss=0.0025, val_acc=1.0000
Epoch 385: val_loss=0.0025, val_acc=1.0000
Epoch 386: val_loss=0.0025, val_acc=1.0000
Epoch 387: val_loss=0.0025, val_acc=1.0000
Epoch 388: val_loss=0.0025, val_acc=1.0000
Epoch 389: val_loss=0.0025, val_acc=1.0000
Epoch 390: val_loss=0.0025, val_acc=1.0000
Epoch 391: val_loss=0.0025, val_acc=1.0000
Epoch 392: val_loss=0.0025, val_acc=1.0000
Epoch 393: val_loss=0.0025, val_acc=1.0000
Epoch 394: val_loss=0.0025, val_acc=1.0000
Epoch 395: val_loss=0.0025, val_acc=1.0000
Epoch 396: val_loss=0.0025, val_acc=1.0000
Epoch 397: val_loss=0.0025, val_acc=1.0000
Epoch 398: val_loss=0.0025, val_acc=1.0000
Epoch 399: val_loss=0.0025, val_acc=1.0000

==================================================
Training complete!
Final nonzero params: 422,243 / 422,243
Final sparsity: 0.00%
Compression ratio: 1.0x
Saved final model to ./checkpoints\final_model.pt
