Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=0.9042, val_acc=0.7277
Epoch 115: val_loss=0.8760, val_acc=0.7411
Epoch 116: val_loss=0.8622, val_acc=0.7390
Epoch 117: val_loss=0.8305, val_acc=0.7518
Epoch 118: val_loss=0.8104, val_acc=0.7596
Epoch 119: val_loss=0.7936, val_acc=0.7660
Epoch 120: val_loss=0.7745, val_acc=0.7688
Epoch 121: val_loss=0.7555, val_acc=0.7779
Epoch 122: val_loss=0.7378, val_acc=0.7773
Epoch 123: val_loss=0.7117, val_acc=0.7928
Epoch 124: val_loss=0.7035, val_acc=0.7953
Epoch 125: val_loss=0.6812, val_acc=0.8049
Epoch 126: val_loss=0.6761, val_acc=0.8015
Epoch 127: val_loss=0.6565, val_acc=0.8070
Epoch 128: val_loss=0.6346, val_acc=0.8183
Epoch 129: val_loss=0.6113, val_acc=0.8257
Epoch 130: val_loss=0.6060, val_acc=0.8278
Epoch 131: val_loss=0.5903, val_acc=0.8291
Epoch 132: val_loss=0.5801, val_acc=0.8366
Epoch 133: val_loss=0.5646, val_acc=0.8391
Epoch 134: val_loss=0.5489, val_acc=0.8431
Epoch 135: val_loss=0.5383, val_acc=0.8508
Epoch 136: val_loss=0.5274, val_acc=0.8525
Epoch 137: val_loss=0.5116, val_acc=0.8563
Epoch 138: val_loss=0.5025, val_acc=0.8584
Epoch 139: val_loss=0.4812, val_acc=0.8670
Epoch 140: val_loss=0.4908, val_acc=0.8633
Epoch 141: val_loss=0.4616, val_acc=0.8748
Epoch 142: val_loss=0.4528, val_acc=0.8725
Epoch 143: val_loss=0.4438, val_acc=0.8793
Epoch 144: val_loss=0.4274, val_acc=0.8865
Epoch 145: val_loss=0.4193, val_acc=0.8888
Epoch 146: val_loss=0.4150, val_acc=0.8893
Epoch 147: val_loss=0.4072, val_acc=0.8942
Epoch 148: val_loss=0.4010, val_acc=0.8880
Epoch 149: val_loss=0.3832, val_acc=0.8999
Epoch 150: val_loss=0.3742, val_acc=0.8993
Epoch 151: val_loss=0.3670, val_acc=0.9010
Epoch 152: val_loss=0.3593, val_acc=0.9048
Epoch 153: val_loss=0.3515, val_acc=0.9067
Epoch 154: val_loss=0.3423, val_acc=0.9097
Epoch 155: val_loss=0.3335, val_acc=0.9129
Epoch 156: val_loss=0.3282, val_acc=0.9135
Epoch 157: val_loss=0.3226, val_acc=0.9146
Epoch 158: val_loss=0.3142, val_acc=0.9167
Epoch 159: val_loss=0.3108, val_acc=0.9207
Epoch 160: val_loss=0.3026, val_acc=0.9209
Epoch 161: val_loss=0.2980, val_acc=0.9216
Epoch 162: val_loss=0.2916, val_acc=0.9224
Epoch 163: val_loss=0.2861, val_acc=0.9271
Epoch 164: val_loss=0.2839, val_acc=0.9277
Epoch 165: val_loss=0.2795, val_acc=0.9267
Epoch 166: val_loss=0.2759, val_acc=0.9271
Epoch 167: val_loss=0.2725, val_acc=0.9292
Epoch 168: val_loss=0.2676, val_acc=0.9313
Epoch 169: val_loss=0.2626, val_acc=0.9320
Epoch 170: val_loss=0.2590, val_acc=0.9339
Epoch 171: val_loss=0.2534, val_acc=0.9362
Epoch 172: val_loss=0.2502, val_acc=0.9369
Epoch 173: val_loss=0.2489, val_acc=0.9375
Epoch 174: val_loss=0.2473, val_acc=0.9379
Epoch 175: val_loss=0.2445, val_acc=0.9390
Epoch 176: val_loss=0.2418, val_acc=0.9399
Epoch 177: val_loss=0.2391, val_acc=0.9396
Epoch 178: val_loss=0.2367, val_acc=0.9407
Epoch 179: val_loss=0.2364, val_acc=0.9409
Epoch 180: val_loss=0.2342, val_acc=0.9413
Epoch 181: val_loss=0.2327, val_acc=0.9430
Epoch 182: val_loss=0.2301, val_acc=0.9424
Epoch 183: val_loss=0.2286, val_acc=0.9428
Epoch 184: val_loss=0.2285, val_acc=0.9422
Epoch 185: val_loss=0.2273, val_acc=0.9420
Epoch 186: val_loss=0.2266, val_acc=0.9430
Epoch 187: val_loss=0.2254, val_acc=0.9433
Epoch 188: val_loss=0.2243, val_acc=0.9426
Epoch 189: val_loss=0.2239, val_acc=0.9441
Epoch 190: val_loss=0.2237, val_acc=0.9433
Epoch 191: val_loss=0.2232, val_acc=0.9441
Epoch 192: val_loss=0.2231, val_acc=0.9437
Epoch 193: val_loss=0.2227, val_acc=0.9439
Epoch 194: val_loss=0.2225, val_acc=0.9439
Epoch 195: val_loss=0.2225, val_acc=0.9435
Epoch 196: val_loss=0.2224, val_acc=0.9441
Epoch 197: val_loss=0.2223, val_acc=0.9441
Epoch 198: val_loss=0.2223, val_acc=0.9441
Epoch 199: val_loss=0.2223, val_acc=0.9441

==================================================
Training complete!
Final nonzero params: 422,243 / 422,243
Final sparsity: 0.00%
Compression ratio: 1.0x
Saved final model to ./checkpoints\final_model.pt
