Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=0.1237, val_acc=0.9949
Epoch 115: val_loss=0.0836, val_acc=0.9991
Epoch 116: val_loss=0.0688, val_acc=0.9991
Epoch 117: val_loss=0.0650, val_acc=0.9996
Epoch 118: val_loss=0.0579, val_acc=0.9994
Epoch 119: val_loss=0.0556, val_acc=0.9994
Epoch 120: val_loss=0.0535, val_acc=0.9994
Epoch 121: val_loss=0.0521, val_acc=0.9996
Epoch 122: val_loss=0.0502, val_acc=0.9996
Epoch 123: val_loss=0.0486, val_acc=0.9996
Epoch 124: val_loss=0.0464, val_acc=0.9991
Epoch 125: val_loss=0.0440, val_acc=0.9991
Epoch 126: val_loss=0.0419, val_acc=0.9996
Epoch 127: val_loss=0.0393, val_acc=0.9996
Epoch 128: val_loss=0.0370, val_acc=0.9998
Epoch 129: val_loss=0.0338, val_acc=0.9998
Epoch 130: val_loss=0.0323, val_acc=0.9994
Epoch 131: val_loss=0.0303, val_acc=0.9998
Epoch 132: val_loss=0.0275, val_acc=1.0000
Epoch 133: val_loss=0.0261, val_acc=1.0000
Epoch 134: val_loss=0.0240, val_acc=1.0000
Epoch 135: val_loss=0.0218, val_acc=0.9998
Epoch 136: val_loss=0.0200, val_acc=1.0000
Epoch 137: val_loss=0.0190, val_acc=1.0000
Epoch 138: val_loss=0.0181, val_acc=1.0000
Epoch 139: val_loss=0.0168, val_acc=1.0000
Epoch 140: val_loss=0.0156, val_acc=1.0000
Epoch 141: val_loss=0.0141, val_acc=1.0000
Epoch 142: val_loss=0.0126, val_acc=1.0000
Epoch 143: val_loss=0.0112, val_acc=0.9998
Epoch 144: val_loss=0.0104, val_acc=1.0000
Epoch 145: val_loss=0.0093, val_acc=1.0000
Epoch 146: val_loss=0.0092, val_acc=1.0000
Epoch 147: val_loss=0.0097, val_acc=1.0000
Epoch 148: val_loss=0.0102, val_acc=0.9998
Epoch 149: val_loss=0.0075, val_acc=1.0000
Epoch 150: val_loss=0.0069, val_acc=1.0000
Epoch 151: val_loss=0.0060, val_acc=1.0000
Epoch 152: val_loss=0.0055, val_acc=1.0000
Epoch 153: val_loss=0.0051, val_acc=1.0000
Epoch 154: val_loss=0.0051, val_acc=1.0000
Epoch 155: val_loss=0.0049, val_acc=1.0000
Epoch 156: val_loss=0.0048, val_acc=1.0000
Epoch 157: val_loss=0.0054, val_acc=1.0000
Epoch 158: val_loss=0.3001, val_acc=0.9545
Epoch 159: val_loss=0.0800, val_acc=0.9968
Epoch 160: val_loss=0.0357, val_acc=0.9989
Epoch 161: val_loss=0.0175, val_acc=1.0000
Epoch 162: val_loss=0.0139, val_acc=1.0000
Epoch 163: val_loss=0.0118, val_acc=1.0000
Epoch 164: val_loss=0.0114, val_acc=1.0000
Epoch 165: val_loss=0.0114, val_acc=1.0000
Epoch 166: val_loss=0.0116, val_acc=1.0000
Epoch 167: val_loss=0.0119, val_acc=1.0000
Epoch 168: val_loss=0.0121, val_acc=1.0000
Epoch 169: val_loss=0.0123, val_acc=1.0000
Epoch 170: val_loss=0.0125, val_acc=1.0000
Epoch 171: val_loss=0.0126, val_acc=1.0000
Epoch 172: val_loss=0.0128, val_acc=1.0000
Epoch 173: val_loss=0.0129, val_acc=1.0000
Epoch 174: val_loss=0.0131, val_acc=1.0000
Epoch 175: val_loss=0.0131, val_acc=1.0000
Epoch 176: val_loss=0.0131, val_acc=1.0000
Epoch 177: val_loss=0.0130, val_acc=1.0000
Epoch 178: val_loss=0.0130, val_acc=1.0000
Epoch 179: val_loss=0.0129, val_acc=1.0000
Epoch 180: val_loss=0.0125, val_acc=1.0000
Epoch 181: val_loss=0.0123, val_acc=1.0000
Epoch 182: val_loss=0.0120, val_acc=1.0000
Epoch 183: val_loss=0.0119, val_acc=1.0000
Epoch 184: val_loss=0.0117, val_acc=1.0000
Epoch 185: val_loss=0.0109, val_acc=1.0000
Epoch 186: val_loss=0.0110, val_acc=1.0000
Epoch 187: val_loss=3.5342, val_acc=0.2111
Epoch 188: val_loss=0.2241, val_acc=0.9864
Epoch 189: val_loss=0.0885, val_acc=0.9998
Epoch 190: val_loss=0.0438, val_acc=1.0000
Epoch 191: val_loss=0.0295, val_acc=1.0000
Epoch 192: val_loss=0.0226, val_acc=1.0000
Epoch 193: val_loss=0.0200, val_acc=1.0000
Epoch 194: val_loss=0.0193, val_acc=1.0000
Epoch 195: val_loss=0.0193, val_acc=1.0000
Epoch 196: val_loss=0.0193, val_acc=1.0000
Epoch 197: val_loss=0.0194, val_acc=1.0000
Epoch 198: val_loss=0.0197, val_acc=1.0000
Epoch 199: val_loss=0.0199, val_acc=1.0000
Epoch 200: val_loss=0.0201, val_acc=1.0000
Epoch 201: val_loss=0.0203, val_acc=1.0000
Epoch 202: val_loss=0.0205, val_acc=1.0000
Epoch 203: val_loss=0.0207, val_acc=1.0000
Epoch 204: val_loss=0.0205, val_acc=1.0000
Epoch 205: val_loss=0.0205, val_acc=1.0000
Epoch 206: val_loss=0.0204, val_acc=1.0000
Epoch 207: val_loss=0.0200, val_acc=1.0000
Epoch 208: val_loss=0.0197, val_acc=1.0000
Epoch 209: val_loss=0.0192, val_acc=1.0000
Epoch 210: val_loss=0.0191, val_acc=1.0000
Epoch 211: val_loss=0.0189, val_acc=1.0000
