Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=6.3533, val_acc=0.2081
Epoch 115: val_loss=6.3406, val_acc=0.2081
Epoch 116: val_loss=6.3351, val_acc=0.2104
Epoch 117: val_loss=6.3267, val_acc=0.2111
Epoch 118: val_loss=6.3167, val_acc=0.2115
Epoch 119: val_loss=6.3077, val_acc=0.2138
Epoch 120: val_loss=6.3006, val_acc=0.2151
Epoch 121: val_loss=6.2938, val_acc=0.2172
Epoch 122: val_loss=6.2944, val_acc=0.2162
Epoch 123: val_loss=6.2858, val_acc=0.2174
Epoch 124: val_loss=6.2755, val_acc=0.2198
Epoch 125: val_loss=6.2736, val_acc=0.2204
Epoch 126: val_loss=6.2731, val_acc=0.2208
Epoch 127: val_loss=6.2737, val_acc=0.2240
Epoch 128: val_loss=6.2649, val_acc=0.2253
Epoch 129: val_loss=6.2647, val_acc=0.2247
Epoch 130: val_loss=6.2609, val_acc=0.2276
Epoch 131: val_loss=6.2658, val_acc=0.2285
Epoch 132: val_loss=6.2667, val_acc=0.2278
Epoch 133: val_loss=6.2658, val_acc=0.2285
Epoch 134: val_loss=6.2640, val_acc=0.2289
Epoch 135: val_loss=6.2712, val_acc=0.2281
Epoch 136: val_loss=6.2735, val_acc=0.2300
Epoch 137: val_loss=6.2785, val_acc=0.2310
Epoch 138: val_loss=6.2750, val_acc=0.2312
Epoch 139: val_loss=6.2828, val_acc=0.2317
Epoch 140: val_loss=6.2922, val_acc=0.2319
Epoch 141: val_loss=6.2960, val_acc=0.2338
Epoch 142: val_loss=6.3087, val_acc=0.2349
Epoch 143: val_loss=6.3122, val_acc=0.2355
Epoch 144: val_loss=6.3193, val_acc=0.2353
Epoch 145: val_loss=6.3211, val_acc=0.2368
Epoch 146: val_loss=6.3266, val_acc=0.2385
Epoch 147: val_loss=6.3359, val_acc=0.2380
Epoch 148: val_loss=6.3453, val_acc=0.2368
Epoch 149: val_loss=6.3550, val_acc=0.2385
Epoch 150: val_loss=6.3532, val_acc=0.2421
Epoch 151: val_loss=6.3659, val_acc=0.2423
Epoch 152: val_loss=6.3722, val_acc=0.2434
Epoch 153: val_loss=6.3848, val_acc=0.2440
Epoch 154: val_loss=6.3826, val_acc=0.2446
Epoch 155: val_loss=6.3918, val_acc=0.2446
Epoch 156: val_loss=6.4049, val_acc=0.2453
Epoch 157: val_loss=6.4066, val_acc=0.2491
Epoch 158: val_loss=6.4208, val_acc=0.2499
Epoch 159: val_loss=6.4304, val_acc=0.2495
Epoch 160: val_loss=6.4381, val_acc=0.2485
Epoch 161: val_loss=6.4492, val_acc=0.2508
Epoch 162: val_loss=6.4392, val_acc=0.2514
Epoch 163: val_loss=6.4444, val_acc=0.2497
Epoch 164: val_loss=6.4520, val_acc=0.2516
Epoch 165: val_loss=6.4633, val_acc=0.2525
Epoch 166: val_loss=6.4675, val_acc=0.2546
Epoch 167: val_loss=6.4743, val_acc=0.2536
Epoch 168: val_loss=6.4754, val_acc=0.2540
Epoch 169: val_loss=6.4920, val_acc=0.2548
Epoch 170: val_loss=6.4816, val_acc=0.2589
Epoch 171: val_loss=6.4865, val_acc=0.2591
Epoch 172: val_loss=6.4798, val_acc=0.2589
Epoch 173: val_loss=6.4814, val_acc=0.2606
Epoch 174: val_loss=6.4829, val_acc=0.2612
Epoch 175: val_loss=6.5111, val_acc=0.2614
Epoch 176: val_loss=6.4960, val_acc=0.2604
Epoch 177: val_loss=6.4973, val_acc=0.2648
Epoch 178: val_loss=6.4953, val_acc=0.2631
Epoch 179: val_loss=6.5018, val_acc=0.2627
Epoch 180: val_loss=6.4976, val_acc=0.2648
Epoch 181: val_loss=6.5037, val_acc=0.2652
Epoch 182: val_loss=6.4959, val_acc=0.2657
Epoch 183: val_loss=6.4996, val_acc=0.2640
Epoch 184: val_loss=6.4993, val_acc=0.2659
Epoch 185: val_loss=6.5059, val_acc=0.2665
Epoch 186: val_loss=6.4932, val_acc=0.2682
Epoch 187: val_loss=6.4931, val_acc=0.2667
