100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 108: val_loss=4.5993, val_acc=0.0089
Epoch 109: val_loss=4.5994, val_acc=0.0108
Epoch 110: val_loss=4.5993, val_acc=0.0100
Epoch 111: val_loss=4.5994, val_acc=0.0091
Epoch 112: val_loss=4.5999, val_acc=0.0083
Epoch 113: val_loss=4.6002, val_acc=0.0083
Epoch 114: val_loss=4.6003, val_acc=0.0091
Epoch 115: val_loss=4.6001, val_acc=0.0077
Epoch 116: val_loss=4.5996, val_acc=0.0083
Epoch 117: val_loss=4.5993, val_acc=0.0089
Epoch 118: val_loss=4.5991, val_acc=0.0096
Epoch 119: val_loss=4.5990, val_acc=0.0087
Epoch 120: val_loss=4.5991, val_acc=0.0077
Epoch 121: val_loss=4.5993, val_acc=0.0089
Epoch 122: val_loss=4.5987, val_acc=0.0081
Epoch 123: val_loss=4.5986, val_acc=0.0064
Epoch 124: val_loss=4.5987, val_acc=0.0074
Epoch 125: val_loss=4.5999, val_acc=0.0083
Epoch 126: val_loss=4.5996, val_acc=0.0077
Epoch 127: val_loss=4.5993, val_acc=0.0085
Epoch 128: val_loss=4.5993, val_acc=0.0098
Epoch 129: val_loss=4.5988, val_acc=0.0083
Epoch 130: val_loss=4.5990, val_acc=0.0081
Epoch 131: val_loss=4.5989, val_acc=0.0085
Epoch 132: val_loss=4.5986, val_acc=0.0077
Epoch 133: val_loss=4.5985, val_acc=0.0089
Epoch 134: val_loss=4.6029, val_acc=0.0079
Epoch 135: val_loss=4.6024, val_acc=0.0081
Epoch 136: val_loss=4.6010, val_acc=0.0074
Epoch 137: val_loss=4.6007, val_acc=0.0096
Epoch 138: val_loss=4.6009, val_acc=0.0087
Epoch 139: val_loss=4.6002, val_acc=0.0094
Epoch 140: val_loss=4.5998, val_acc=0.0104
Epoch 141: val_loss=4.5999, val_acc=0.0094
Epoch 142: val_loss=4.5993, val_acc=0.0085
Epoch 143: val_loss=4.6008, val_acc=0.0064
Epoch 144: val_loss=4.6005, val_acc=0.0079
Epoch 145: val_loss=4.5997, val_acc=0.0074
Epoch 146: val_loss=4.5991, val_acc=0.0068
Epoch 147: val_loss=4.6075, val_acc=0.0074
Epoch 148: val_loss=4.6065, val_acc=0.0070
Epoch 149: val_loss=4.6047, val_acc=0.0066
Epoch 150: val_loss=4.6035, val_acc=0.0072
Epoch 151: val_loss=4.6028, val_acc=0.0068
Epoch 152: val_loss=4.6065, val_acc=0.0102
Epoch 153: val_loss=4.6057, val_acc=0.0096
Epoch 154: val_loss=4.6041, val_acc=0.0091
Epoch 155: val_loss=4.6033, val_acc=0.0091
