Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=2.3658, val_acc=0.4176
Epoch 115: val_loss=2.3194, val_acc=0.4334
Epoch 116: val_loss=2.2844, val_acc=0.4351
Epoch 117: val_loss=2.2472, val_acc=0.4429
Epoch 118: val_loss=2.2286, val_acc=0.4487
Epoch 119: val_loss=2.2052, val_acc=0.4529
Epoch 120: val_loss=2.1763, val_acc=0.4589
Epoch 121: val_loss=2.1334, val_acc=0.4621
Epoch 122: val_loss=2.1216, val_acc=0.4695
Epoch 123: val_loss=2.0907, val_acc=0.4731
Epoch 124: val_loss=2.0734, val_acc=0.4803
Epoch 125: val_loss=2.0439, val_acc=0.4852
Epoch 126: val_loss=2.0186, val_acc=0.4948
Epoch 127: val_loss=2.0065, val_acc=0.4933
Epoch 128: val_loss=1.9886, val_acc=0.4961
Epoch 129: val_loss=1.9620, val_acc=0.5014
Epoch 130: val_loss=1.9403, val_acc=0.5061
Epoch 131: val_loss=1.9199, val_acc=0.5029
Epoch 132: val_loss=1.8895, val_acc=0.5180
Epoch 133: val_loss=1.8934, val_acc=0.5150
Epoch 134: val_loss=1.8724, val_acc=0.5171
Epoch 135: val_loss=1.8502, val_acc=0.5258
Epoch 136: val_loss=1.8275, val_acc=0.5279
Epoch 137: val_loss=1.8201, val_acc=0.5275
Epoch 138: val_loss=1.8075, val_acc=0.5294
Epoch 139: val_loss=1.7913, val_acc=0.5373
Epoch 140: val_loss=1.7681, val_acc=0.5379
Epoch 141: val_loss=1.7589, val_acc=0.5388
Epoch 142: val_loss=1.7474, val_acc=0.5388
Epoch 143: val_loss=1.7317, val_acc=0.5422
Epoch 144: val_loss=1.7169, val_acc=0.5515
Epoch 145: val_loss=1.7055, val_acc=0.5509
Epoch 146: val_loss=1.6819, val_acc=0.5522
Epoch 147: val_loss=1.6821, val_acc=0.5522
Epoch 148: val_loss=1.6720, val_acc=0.5571
Epoch 149: val_loss=1.6547, val_acc=0.5620
Epoch 150: val_loss=1.6452, val_acc=0.5617
Epoch 151: val_loss=1.6414, val_acc=0.5637
Epoch 152: val_loss=1.6327, val_acc=0.5671
Epoch 153: val_loss=1.6257, val_acc=0.5673
Epoch 154: val_loss=1.6113, val_acc=0.5711
Epoch 155: val_loss=1.6045, val_acc=0.5715
Epoch 156: val_loss=1.5935, val_acc=0.5736
Epoch 157: val_loss=1.5992, val_acc=0.5736
Epoch 158: val_loss=1.5844, val_acc=0.5777
Epoch 159: val_loss=1.5736, val_acc=0.5768
Epoch 160: val_loss=1.5624, val_acc=0.5785
Epoch 161: val_loss=1.5593, val_acc=0.5834
Epoch 162: val_loss=1.5595, val_acc=0.5764
Epoch 163: val_loss=1.5480, val_acc=0.5830
Epoch 164: val_loss=1.5470, val_acc=0.5811
Epoch 165: val_loss=1.5393, val_acc=0.5830
Epoch 166: val_loss=1.5325, val_acc=0.5821
Epoch 167: val_loss=1.5296, val_acc=0.5881
Epoch 168: val_loss=1.5229, val_acc=0.5860
Epoch 169: val_loss=1.5250, val_acc=0.5913
Epoch 170: val_loss=1.5180, val_acc=0.5902
Epoch 171: val_loss=1.5143, val_acc=0.5875
Epoch 172: val_loss=1.5105, val_acc=0.5875
Epoch 173: val_loss=1.5097, val_acc=0.5902
Epoch 174: val_loss=1.5042, val_acc=0.5887
Epoch 175: val_loss=1.5015, val_acc=0.5943
Epoch 176: val_loss=1.4998, val_acc=0.5909
Epoch 177: val_loss=1.4975, val_acc=0.5909
Epoch 178: val_loss=1.4929, val_acc=0.5930
Epoch 179: val_loss=1.4904, val_acc=0.5945
Epoch 180: val_loss=1.4913, val_acc=0.5932
Epoch 181: val_loss=1.4928, val_acc=0.5913
Epoch 182: val_loss=1.4866, val_acc=0.5936
Epoch 183: val_loss=1.4886, val_acc=0.5930
Epoch 184: val_loss=1.4860, val_acc=0.5943
Epoch 185: val_loss=1.4863, val_acc=0.5938
Epoch 186: val_loss=1.4849, val_acc=0.5951
Epoch 187: val_loss=1.4838, val_acc=0.5928
Epoch 188: val_loss=1.4823, val_acc=0.5932
Epoch 189: val_loss=1.4835, val_acc=0.5943
Epoch 190: val_loss=1.4823, val_acc=0.5949
Epoch 191: val_loss=1.4832, val_acc=0.5934
Epoch 192: val_loss=1.4823, val_acc=0.5951
Epoch 193: val_loss=1.4814, val_acc=0.5957
Epoch 194: val_loss=1.4815, val_acc=0.5938
Epoch 195: val_loss=1.4808, val_acc=0.5949
Epoch 196: val_loss=1.4808, val_acc=0.5951
Epoch 197: val_loss=1.4809, val_acc=0.5955
Epoch 198: val_loss=1.4810, val_acc=0.5949
Epoch 199: val_loss=1.4810, val_acc=0.5949

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
