100%|██████████| 200/200 [03:20<00:00,  1.00s/it]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [00:46<04:00,  1.42s/it]
Epoch 108: val_loss=4.5952, val_acc=0.0100
Epoch 109: val_loss=4.5952, val_acc=0.0100
Epoch 110: val_loss=4.5952, val_acc=0.0100
Epoch 111: val_loss=4.5952, val_acc=0.0100
Epoch 112: val_loss=4.5952, val_acc=0.0100
Epoch 113: val_loss=4.5952, val_acc=0.0100
Epoch 114: val_loss=4.5952, val_acc=0.0100
Epoch 115: val_loss=4.5952, val_acc=0.0100
Epoch 116: val_loss=4.5952, val_acc=0.0100
Epoch 117: val_loss=4.5952, val_acc=0.0100
Epoch 118: val_loss=4.5952, val_acc=0.0100
Epoch 119: val_loss=4.5952, val_acc=0.0100
Epoch 120: val_loss=4.5952, val_acc=0.0100
Epoch 121: val_loss=4.5952, val_acc=0.0100
Epoch 122: val_loss=4.5951, val_acc=0.0100
Epoch 123: val_loss=4.5951, val_acc=0.0100
Epoch 124: val_loss=4.5951, val_acc=0.0100
Epoch 125: val_loss=4.5951, val_acc=0.0100
Epoch 126: val_loss=4.5951, val_acc=0.0100
Epoch 127: val_loss=4.5951, val_acc=0.0100
Epoch 128: val_loss=4.5951, val_acc=0.0100
Epoch 129: val_loss=4.5951, val_acc=0.0100
Epoch 130: val_loss=4.5951, val_acc=0.0100
Epoch 131: val_loss=4.5951, val_acc=0.0100
Epoch 132: val_loss=4.5951, val_acc=0.0100
Epoch 133: val_loss=4.5951, val_acc=0.0100
Epoch 134: val_loss=4.5951, val_acc=0.0100
Epoch 135: val_loss=4.5951, val_acc=0.0100
Epoch 136: val_loss=4.5951, val_acc=0.0100
Epoch 137: val_loss=4.5951, val_acc=0.0100
Epoch 138: val_loss=4.5951, val_acc=0.0100
Epoch 139: val_loss=4.5951, val_acc=0.0100
Epoch 140: val_loss=4.5951, val_acc=0.0100
Epoch 141: val_loss=4.5951, val_acc=0.0100
Epoch 142: val_loss=4.5951, val_acc=0.0100
Epoch 143: val_loss=4.5951, val_acc=0.0100
Epoch 144: val_loss=4.5951, val_acc=0.0100
Epoch 145: val_loss=4.5951, val_acc=0.0100
Epoch 146: val_loss=4.5951, val_acc=0.0100
Epoch 147: val_loss=4.5951, val_acc=0.0100
Epoch 148: val_loss=4.5951, val_acc=0.0100
Epoch 149: val_loss=4.5951, val_acc=0.0100
Epoch 150: val_loss=4.5951, val_acc=0.0100
Epoch 151: val_loss=4.5951, val_acc=0.0100
Epoch 152: val_loss=4.5951, val_acc=0.0100
Epoch 153: val_loss=4.5951, val_acc=0.0100
Epoch 154: val_loss=4.5951, val_acc=0.0100
Epoch 155: val_loss=4.5951, val_acc=0.0100
Epoch 156: val_loss=4.5951, val_acc=0.0100
Epoch 157: val_loss=4.5951, val_acc=0.0100
Epoch 158: val_loss=4.5951, val_acc=0.0100
Epoch 159: val_loss=4.5951, val_acc=0.0100
Epoch 160: val_loss=4.5951, val_acc=0.0100
Epoch 161: val_loss=4.5951, val_acc=0.0100
Epoch 162: val_loss=4.5951, val_acc=0.0100
Epoch 163: val_loss=4.5951, val_acc=0.0100
Epoch 164: val_loss=4.5951, val_acc=0.0100
Epoch 165: val_loss=4.5951, val_acc=0.0100
Epoch 166: val_loss=4.5951, val_acc=0.0100
Epoch 167: val_loss=4.5951, val_acc=0.0100
Epoch 168: val_loss=4.5951, val_acc=0.0100
Epoch 169: val_loss=4.5951, val_acc=0.0100
Epoch 170: val_loss=4.5951, val_acc=0.0100
Epoch 171: val_loss=4.5951, val_acc=0.0100
Epoch 172: val_loss=4.5951, val_acc=0.0100
Epoch 173: val_loss=4.5951, val_acc=0.0100
Epoch 174: val_loss=4.5951, val_acc=0.0100
Epoch 175: val_loss=4.5951, val_acc=0.0100
Epoch 176: val_loss=4.5951, val_acc=0.0100
Epoch 177: val_loss=4.5951, val_acc=0.0100
Epoch 178: val_loss=4.5951, val_acc=0.0100
Epoch 179: val_loss=4.5951, val_acc=0.0100
Epoch 180: val_loss=4.5951, val_acc=0.0100
Epoch 181: val_loss=4.5951, val_acc=0.0100
Epoch 182: val_loss=4.5951, val_acc=0.0100
Epoch 183: val_loss=4.5951, val_acc=0.0100
Epoch 184: val_loss=4.5951, val_acc=0.0100
Epoch 185: val_loss=4.5951, val_acc=0.0100
Epoch 186: val_loss=4.5951, val_acc=0.0100
Epoch 187: val_loss=4.5951, val_acc=0.0100
Epoch 188: val_loss=4.5951, val_acc=0.0100
Epoch 189: val_loss=4.5951, val_acc=0.0100
Epoch 190: val_loss=4.5951, val_acc=0.0100
Epoch 191: val_loss=4.5951, val_acc=0.0100
Epoch 192: val_loss=4.5951, val_acc=0.0100
Epoch 193: val_loss=4.5951, val_acc=0.0100
Epoch 194: val_loss=4.5951, val_acc=0.0100
Epoch 195: val_loss=4.5951, val_acc=0.0100
Epoch 196: val_loss=4.5951, val_acc=0.0100
Epoch 197: val_loss=4.5951, val_acc=0.0100
Epoch 198: val_loss=4.5951, val_acc=0.0100
Epoch 199: val_loss=4.5951, val_acc=0.0100

==================================================
Training complete!
Final nonzero params: 42,211 / 422,243
Final sparsity: 90.00%
Compression ratio: 10.0x
Saved final model to ./checkpoints\final_model.pt
