Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=2.9873, val_acc=0.2640
Epoch 115: val_loss=2.9654, val_acc=0.2735
Epoch 116: val_loss=2.9347, val_acc=0.2831
Epoch 117: val_loss=2.8901, val_acc=0.2922
Epoch 118: val_loss=3.0035, val_acc=0.2678
Epoch 119: val_loss=2.8833, val_acc=0.2880
Epoch 120: val_loss=2.8629, val_acc=0.2937
Epoch 121: val_loss=2.8087, val_acc=0.2980
Epoch 122: val_loss=2.7786, val_acc=0.3099
Epoch 123: val_loss=2.7727, val_acc=0.3088
Epoch 124: val_loss=2.7387, val_acc=0.3146
Epoch 125: val_loss=2.8041, val_acc=0.2978
Epoch 126: val_loss=2.7130, val_acc=0.3188
Epoch 127: val_loss=2.6917, val_acc=0.3146
Epoch 128: val_loss=2.6572, val_acc=0.3220
Epoch 129: val_loss=2.6299, val_acc=0.3333
Epoch 130: val_loss=2.6180, val_acc=0.3345
Epoch 131: val_loss=2.7035, val_acc=0.3035
Epoch 132: val_loss=2.5944, val_acc=0.3367
Epoch 133: val_loss=2.5732, val_acc=0.3377
Epoch 134: val_loss=2.5358, val_acc=0.3437
Epoch 135: val_loss=2.5310, val_acc=0.3441
Epoch 136: val_loss=2.5075, val_acc=0.3488
Epoch 137: val_loss=3.1397, val_acc=0.2055
Epoch 138: val_loss=2.6650, val_acc=0.2963
Epoch 139: val_loss=2.5356, val_acc=0.3207
Epoch 140: val_loss=2.4273, val_acc=0.3469
Epoch 141: val_loss=2.4164, val_acc=0.3594
Epoch 142: val_loss=2.3921, val_acc=0.3615
Epoch 143: val_loss=3.0958, val_acc=0.2227
Epoch 144: val_loss=2.5118, val_acc=0.3286
Epoch 145: val_loss=2.4348, val_acc=0.3530
Epoch 146: val_loss=2.3552, val_acc=0.3620
Epoch 147: val_loss=2.3384, val_acc=0.3711
Epoch 148: val_loss=2.3129, val_acc=0.3785
Epoch 149: val_loss=2.2920, val_acc=0.3821
Epoch 150: val_loss=2.3702, val_acc=0.3641
Epoch 151: val_loss=2.3280, val_acc=0.3728
Epoch 152: val_loss=2.2922, val_acc=0.3783
Epoch 153: val_loss=2.2753, val_acc=0.3879
Epoch 154: val_loss=2.2595, val_acc=0.3951
Epoch 155: val_loss=2.2465, val_acc=0.3915
Epoch 156: val_loss=2.5860, val_acc=0.3071
Epoch 157: val_loss=2.3832, val_acc=0.3509
Epoch 158: val_loss=2.2494, val_acc=0.3766
Epoch 159: val_loss=2.2016, val_acc=0.3889
Epoch 160: val_loss=2.1776, val_acc=0.4040
Epoch 161: val_loss=2.1704, val_acc=0.4045
Epoch 162: val_loss=2.1621, val_acc=0.4036
Epoch 163: val_loss=2.1548, val_acc=0.4094
Epoch 164: val_loss=2.1512, val_acc=0.4072
Epoch 165: val_loss=2.1493, val_acc=0.4123
Epoch 166: val_loss=2.1410, val_acc=0.4164
Epoch 167: val_loss=2.1381, val_acc=0.4172
Epoch 168: val_loss=2.1306, val_acc=0.4191
Epoch 169: val_loss=2.1283, val_acc=0.4213
Epoch 170: val_loss=2.1242, val_acc=0.4206
Epoch 171: val_loss=2.1201, val_acc=0.4208
Epoch 172: val_loss=2.1182, val_acc=0.4234
Epoch 173: val_loss=2.1149, val_acc=0.4238
Epoch 174: val_loss=2.1134, val_acc=0.4230
Epoch 175: val_loss=2.1072, val_acc=0.4221
Epoch 176: val_loss=2.1013, val_acc=0.4249
Epoch 177: val_loss=2.0992, val_acc=0.4264
Epoch 178: val_loss=2.0936, val_acc=0.4272
Epoch 179: val_loss=2.0934, val_acc=0.4276
Epoch 180: val_loss=2.0926, val_acc=0.4268
Epoch 181: val_loss=2.0908, val_acc=0.4259
Epoch 182: val_loss=2.0868, val_acc=0.4259
Epoch 183: val_loss=2.0860, val_acc=0.4289
Epoch 184: val_loss=2.0829, val_acc=0.4310
Epoch 185: val_loss=2.0832, val_acc=0.4306
Epoch 186: val_loss=2.0822, val_acc=0.4268
Epoch 187: val_loss=2.0813, val_acc=0.4304
Epoch 188: val_loss=2.0788, val_acc=0.4304
Epoch 189: val_loss=2.0800, val_acc=0.4289
Epoch 190: val_loss=2.0803, val_acc=0.4295
Epoch 191: val_loss=2.0798, val_acc=0.4293
Epoch 192: val_loss=2.0791, val_acc=0.4298
Epoch 193: val_loss=2.0787, val_acc=0.4308
Epoch 194: val_loss=2.0785, val_acc=0.4287
Epoch 195: val_loss=2.0785, val_acc=0.4285
Epoch 196: val_loss=2.0786, val_acc=0.4285
Epoch 197: val_loss=2.0786, val_acc=0.4293
Epoch 198: val_loss=2.0786, val_acc=0.4289
Epoch 199: val_loss=2.0787, val_acc=0.4289

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
