Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=4.5994, val_acc=0.0081
Epoch 115: val_loss=4.5996, val_acc=0.0094
Epoch 116: val_loss=4.5995, val_acc=0.0087
Epoch 117: val_loss=4.5996, val_acc=0.0087
Epoch 118: val_loss=4.5996, val_acc=0.0094
Epoch 119: val_loss=4.5995, val_acc=0.0089
Epoch 120: val_loss=4.5997, val_acc=0.0085
Epoch 121: val_loss=4.5994, val_acc=0.0074
Epoch 122: val_loss=4.5990, val_acc=0.0070
Epoch 123: val_loss=4.5990, val_acc=0.0068
Epoch 124: val_loss=4.5989, val_acc=0.0072
Epoch 125: val_loss=4.5988, val_acc=0.0070
Epoch 126: val_loss=4.5986, val_acc=0.0070
Epoch 127: val_loss=4.5987, val_acc=0.0074
Epoch 128: val_loss=4.5991, val_acc=0.0072
Epoch 129: val_loss=4.5991, val_acc=0.0066
Epoch 130: val_loss=4.5991, val_acc=0.0072
Epoch 131: val_loss=4.5991, val_acc=0.0070
Epoch 132: val_loss=4.5990, val_acc=0.0087
Epoch 133: val_loss=4.5993, val_acc=0.0085
Epoch 134: val_loss=4.5993, val_acc=0.0077
Epoch 135: val_loss=4.5991, val_acc=0.0068
Epoch 136: val_loss=4.5992, val_acc=0.0077
Epoch 137: val_loss=4.5991, val_acc=0.0077
Epoch 138: val_loss=4.5992, val_acc=0.0087
Epoch 139: val_loss=4.5992, val_acc=0.0085
Epoch 140: val_loss=4.5993, val_acc=0.0085
Epoch 141: val_loss=4.5996, val_acc=0.0083
Epoch 142: val_loss=4.5996, val_acc=0.0079
Epoch 143: val_loss=4.5995, val_acc=0.0077
Epoch 144: val_loss=4.5993, val_acc=0.0081
Epoch 145: val_loss=4.5991, val_acc=0.0085
Epoch 146: val_loss=4.5991, val_acc=0.0077
Epoch 147: val_loss=4.5990, val_acc=0.0085
Epoch 148: val_loss=4.5993, val_acc=0.0077
Epoch 149: val_loss=4.5993, val_acc=0.0085
Epoch 150: val_loss=4.5992, val_acc=0.0077
Epoch 151: val_loss=4.5991, val_acc=0.0085
Epoch 152: val_loss=4.5990, val_acc=0.0066
Epoch 153: val_loss=4.5991, val_acc=0.0072
Epoch 154: val_loss=4.5993, val_acc=0.0074
Epoch 155: val_loss=4.5994, val_acc=0.0066
Epoch 156: val_loss=4.5991, val_acc=0.0083
Epoch 157: val_loss=4.5992, val_acc=0.0074
Epoch 158: val_loss=4.5989, val_acc=0.0072
Epoch 159: val_loss=4.5987, val_acc=0.0079
Epoch 160: val_loss=4.5987, val_acc=0.0072
Epoch 161: val_loss=4.5987, val_acc=0.0070
Epoch 162: val_loss=4.5987, val_acc=0.0072
Epoch 163: val_loss=4.5990, val_acc=0.0081
Epoch 164: val_loss=4.5992, val_acc=0.0081
Epoch 165: val_loss=4.5990, val_acc=0.0083
Epoch 166: val_loss=4.5990, val_acc=0.0077
Epoch 167: val_loss=4.5988, val_acc=0.0072
Epoch 168: val_loss=4.5990, val_acc=0.0066
Epoch 169: val_loss=4.5990, val_acc=0.0070
Epoch 170: val_loss=4.5989, val_acc=0.0072
Epoch 171: val_loss=4.5990, val_acc=0.0077
Epoch 172: val_loss=4.5990, val_acc=0.0074
Epoch 173: val_loss=4.5989, val_acc=0.0074
Epoch 174: val_loss=4.5988, val_acc=0.0081
Epoch 175: val_loss=4.5987, val_acc=0.0077
Epoch 176: val_loss=4.5988, val_acc=0.0079
Epoch 177: val_loss=4.5989, val_acc=0.0062
Epoch 178: val_loss=4.5990, val_acc=0.0055
Epoch 179: val_loss=4.5991, val_acc=0.0057
Epoch 180: val_loss=4.5992, val_acc=0.0064
Epoch 181: val_loss=4.5994, val_acc=0.0062
Epoch 182: val_loss=4.5994, val_acc=0.0062
Epoch 183: val_loss=4.5996, val_acc=0.0066
Epoch 184: val_loss=4.5997, val_acc=0.0068
Epoch 185: val_loss=4.5998, val_acc=0.0074
Epoch 186: val_loss=4.6000, val_acc=0.0072
Epoch 187: val_loss=4.6003, val_acc=0.0074
Epoch 188: val_loss=4.6001, val_acc=0.0079
Epoch 189: val_loss=4.6000, val_acc=0.0079
