Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 114: val_loss=1.5592, val_acc=0.5877
Epoch 115: val_loss=1.5015, val_acc=0.5981
Epoch 116: val_loss=1.4875, val_acc=0.6043
Epoch 117: val_loss=1.4601, val_acc=0.6064
Epoch 118: val_loss=1.4298, val_acc=0.6102
Epoch 119: val_loss=1.4188, val_acc=0.6176
Epoch 120: val_loss=1.3792, val_acc=0.6204
Epoch 121: val_loss=1.3822, val_acc=0.6238
Epoch 122: val_loss=1.3620, val_acc=0.6291
Epoch 123: val_loss=1.3190, val_acc=0.6340
Epoch 124: val_loss=1.3086, val_acc=0.6397
Epoch 125: val_loss=1.2881, val_acc=0.6408
Epoch 126: val_loss=1.2631, val_acc=0.6474
Epoch 127: val_loss=1.2549, val_acc=0.6417
Epoch 128: val_loss=1.2363, val_acc=0.6519
Epoch 129: val_loss=1.2157, val_acc=0.6567
Epoch 130: val_loss=1.1888, val_acc=0.6680
Epoch 131: val_loss=1.1829, val_acc=0.6672
Epoch 132: val_loss=1.1607, val_acc=0.6699
Epoch 133: val_loss=1.1491, val_acc=0.6708
Epoch 134: val_loss=1.1298, val_acc=0.6797
Epoch 135: val_loss=1.1116, val_acc=0.6844
Epoch 136: val_loss=1.0942, val_acc=0.6912
Epoch 137: val_loss=1.0860, val_acc=0.6944
Epoch 138: val_loss=1.0640, val_acc=0.6959
Epoch 139: val_loss=1.0528, val_acc=0.7003
Epoch 140: val_loss=1.0348, val_acc=0.7035
Epoch 141: val_loss=1.0364, val_acc=0.7024
Epoch 142: val_loss=1.0197, val_acc=0.7139
Epoch 143: val_loss=1.0149, val_acc=0.7041
Epoch 144: val_loss=0.9796, val_acc=0.7112
Epoch 145: val_loss=0.9824, val_acc=0.7171
Epoch 146: val_loss=0.9559, val_acc=0.7271
Epoch 147: val_loss=0.9559, val_acc=0.7241
Epoch 148: val_loss=0.9357, val_acc=0.7290
Epoch 149: val_loss=0.9195, val_acc=0.7354
Epoch 150: val_loss=0.9165, val_acc=0.7337
Epoch 151: val_loss=0.9143, val_acc=0.7343
Epoch 152: val_loss=0.8998, val_acc=0.7388
Epoch 153: val_loss=0.8962, val_acc=0.7337
Epoch 154: val_loss=0.8834, val_acc=0.7430
Epoch 155: val_loss=0.8815, val_acc=0.7433
Epoch 156: val_loss=0.8656, val_acc=0.7462
Epoch 157: val_loss=0.8532, val_acc=0.7513
Epoch 158: val_loss=0.8452, val_acc=0.7537
Epoch 159: val_loss=0.8388, val_acc=0.7562
Epoch 160: val_loss=0.8301, val_acc=0.7588
Epoch 161: val_loss=0.8271, val_acc=0.7554
Epoch 162: val_loss=0.8197, val_acc=0.7620
Epoch 163: val_loss=0.8070, val_acc=0.7639
Epoch 164: val_loss=0.8066, val_acc=0.7605
Epoch 165: val_loss=0.8043, val_acc=0.7620
Epoch 166: val_loss=0.7935, val_acc=0.7649
Epoch 167: val_loss=0.7894, val_acc=0.7694
Epoch 168: val_loss=0.7835, val_acc=0.7711
Epoch 169: val_loss=0.7813, val_acc=0.7726
Epoch 170: val_loss=0.7772, val_acc=0.7717
Epoch 171: val_loss=0.7692, val_acc=0.7713
Epoch 172: val_loss=0.7681, val_acc=0.7719
Epoch 173: val_loss=0.7656, val_acc=0.7743
Epoch 174: val_loss=0.7614, val_acc=0.7734
Epoch 175: val_loss=0.7598, val_acc=0.7730
Epoch 176: val_loss=0.7570, val_acc=0.7751
Epoch 177: val_loss=0.7539, val_acc=0.7758
Epoch 178: val_loss=0.7477, val_acc=0.7813
Epoch 179: val_loss=0.7492, val_acc=0.7766
Epoch 180: val_loss=0.7458, val_acc=0.7796
Epoch 181: val_loss=0.7448, val_acc=0.7804
Epoch 182: val_loss=0.7423, val_acc=0.7798
Epoch 183: val_loss=0.7369, val_acc=0.7809
Epoch 184: val_loss=0.7393, val_acc=0.7828
Epoch 185: val_loss=0.7359, val_acc=0.7809
Epoch 186: val_loss=0.7361, val_acc=0.7832
Epoch 187: val_loss=0.7344, val_acc=0.7832
Epoch 188: val_loss=0.7330, val_acc=0.7838
Epoch 189: val_loss=0.7325, val_acc=0.7836
Epoch 190: val_loss=0.7329, val_acc=0.7843
Epoch 191: val_loss=0.7322, val_acc=0.7826
Epoch 192: val_loss=0.7314, val_acc=0.7843
Epoch 193: val_loss=0.7317, val_acc=0.7841
Epoch 194: val_loss=0.7316, val_acc=0.7841
Epoch 195: val_loss=0.7310, val_acc=0.7853
Epoch 196: val_loss=0.7310, val_acc=0.7851
Epoch 197: val_loss=0.7309, val_acc=0.7847
Epoch 198: val_loss=0.7310, val_acc=0.7849
Epoch 199: val_loss=0.7310, val_acc=0.7849

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
